Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,1uF,C28323
"C2, C5",0805,2,10uF,C15850
"C3, C4",0805,2,0.1uF,C28233
J1,USB_C_Receptacle_Amphenol_12401610E4-2A,1,USB_C_Receptacle,C5119948
"J2, J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J3,Hirose_FH12-20S-0.5SH_1x20-1MP_P0.50mm_Horizontal,1,Conn_01x20,C596730
"R1, R2",0805,2,5.1k,C84375
"R3, R4",0805,2,10k,C84376
"SW1, SW2",SW_PUSH_6mm_H4.3mm,2,SW_Push,
U1,Texas_RGW0020A_VQFN-20-1EP_5x5mm_P0.65mm_EP3.15x3.15mm_ThermalVias,1,TPS7A4701xRGW,C90084
U2,ESP32-S2-MINI-1U,1,ESP32-S3-MINI-1U,C2980299
