Designator,Mid X,Mid Y,Rotation,Layer
C1,147.7,-120.95,0.0,top
C2,148.5,-123.95,90.0,top
C3,143.9,-112.75,90.0,top
C4,163.5,-110.95,180.0,top
C5,163.5,-108.54,180.0,top
J1,153.1,-142.35,0.0,top
J2,136.6,-89.31,0.0,top
J3,153.1,-82.4,0.0,top
J4,141.19,-89.31,0.0,top
R1,146.85,-133.4375,90.0,top
R2,143.6,-133.525,90.0,top
R3,140.5,-112.75,90.0,top
R4,163.5,-105.75,180.0,top
SW1,166.1,-129.2,90.0,top
SW2,166.1,-117.85,270.0,top
U1,153.05,-121.4875,180.0,top
U2,153.1,-104.2,180.0,top
U3,153.55,-133.6625,270.0,top
